link,username,tweet
https://twitter.com/anyuser/status/830059795323424768,aboalmout,"الحمدلله رب العالمين 
التغى التقنين
ماعد في كهربا بنوب 
#بح"
https://twitter.com/anyuser/status/829987190503591936,aboalmout,"خرجنا الله لايقيمنا شو ماصار فينا
قولو آمين... 
ماعاد فيكن تعيشو بلا سيارة كم يوم لتنحل
ليش حتى تدفعوا 10000... https://t.co/gmgkUUOFP7"
https://twitter.com/anyuser/status/829744583047315459,aboalmout,"الشعب ضايج
الشعب صابر
إنما للصبر حدود 
من المستفيد من هذه الفوضى المفتعلة من نقص في كل شيء،،،، 
طالما لايوجد حساب... https://t.co/4YilxB1jcJ"
https://twitter.com/anyuser/status/829372869348044800,aboalmout,"ع فكرة اللي بيحب عندو كل يوم عيد مو بس مرة بالسنة 
#هروب تكتيكي من الهدية"
https://twitter.com/anyuser/status/829016578435985409,aboalmout,"تحرير المخطوفين
ألف الحمدلله
#ريف_اللاذقية"
https://twitter.com/anyuser/status/829002063690526723,aboalmout,معي متلا فتحو الحواجز نصيحة 😂 https://t.co/8VN4S4nhWV
https://twitter.com/anyuser/status/828634622028300289,aboalmout,😒صارحوني تشوف https://t.co/jWkW9uvPRy
https://twitter.com/anyuser/status/822855344938422272,aboalmout,"ما أحلى ضحكتك 
احلى من استشهادك والله https://t.co/ssPwRgjUnP"
https://twitter.com/anyuser/status/821719061721710592,aboalmout,"توزيع كعكات لاحدا يتدخل مو جاييكن شي
تفرجوا وبس"
https://twitter.com/anyuser/status/804396118561976321,aboalmout,"إغلاق مصب النفط في بانياس بسبب سوء الأحوال الجوية... 
فيول أبقا في ياخديجة
شربو نبيز ياقوم - يشعر بـالسعادة"
https://twitter.com/anyuser/status/802541772597501952,aboalmout,اخبار جبلة الصفحة الجديدة الاحتياطية https://t.co/gcjkl8WPgC
https://twitter.com/anyuser/status/802441521886806016,aboalmout,يرجى المشاركة https://t.co/xu5v48ezpn
https://twitter.com/anyuser/status/788836391631392768,aboalmout,"يبكيك القلب قبل العين ياسيادة العقيد البطل الله معك يا شريف ياقائد لروحك ألف سلام 
أسمك ما نكتب وما نعرف وهيك كان... https://t.co/dNwdr1oo79"
https://twitter.com/anyuser/status/788832202519941121,aboalmout,"الله معك ياسيدي وسيد كل عسكري
خسارة والله لروحك ألف سلام
قائد تحرير المليحة 
عمليات حرستا
جوبر
جسرين
الله معك يابطل https://t.co/gu1JNNr2nL"
https://twitter.com/anyuser/status/788122684211269632,aboalmout,درس القطرميز https://t.co/fuC69MTp0t
https://twitter.com/anyuser/status/787402133306048512,aboalmout,"33 عام بصورة 
بترفعو الراس الله محييكم Hasan Osama https://t.co/39bxYK21xM"
https://twitter.com/anyuser/status/787380208575840256,aboalmout,󾌴󾌴󾌴󾌴 https://t.co/ukAY2lU0Jm
https://twitter.com/anyuser/status/785219835479355393,aboalmout,بالتوفيق ياغالية مريم https://t.co/VUaLWYowU8
https://twitter.com/anyuser/status/761488534708551680,aboalmout,حيدرة اللحام صوت سوريا بلسان طفل حماك الله https://t.co/RyACrSnQAJ
https://twitter.com/anyuser/status/759866174700126208,aboalmout,وجودك وقيادتك لجيشنا هو العيد كل عام وانت وكل شريف حامل سلاحو بألف ألف خير وانشالله بالنصر ع إيدك https://t.co/AXfUmdSgPW
https://twitter.com/anyuser/status/738427259137232896,aboalmout,السلاح صاحي والرد حاضر https://t.co/Wm1jAE7sy2
https://twitter.com/anyuser/status/738306989902663680,aboalmout,"ممكن السؤال الأخير لوسمحت؟
- آسف مافي شبكة -_-
#حرص_اتصالات_تغطية_حس_أمني_عرس_نزاهة_تهاني_تفو"
https://twitter.com/anyuser/status/737652702109388800,aboalmout,"سعادة المواطن بانخفاض سعر الصرف توازي سعادته بتحرير محافظة بأكملها دون مبالغة. 
#العدو_واحد_التجار_داعش"
https://twitter.com/anyuser/status/736896527898161152,aboalmout,"للشهداء الرحمة والوطن للشرفاء
حياك الله يامقاوم ياابن الاحرار https://t.co/lgEZ10zq8j"
https://twitter.com/anyuser/status/734751128257191936,aboalmout,"حسبنا الله ونعم الوكيل 
الله يرحم روحك عمتو ياغالية 󾍀
ويصبركن ياربMohammad ZammamdMeriam ZammammZeinab... https://t.co/kmaBjvP0aD"
https://twitter.com/anyuser/status/397122122902151169,aboalmout,"شارك بحملة أوقفوا:
ضد رفع كلفة الجامعات
ضد نشر الجهل والوهابية

شارك وانشر........... http://t.co/N9p36uEwEK"
https://twitter.com/anyuser/status/395910240195330048,aboalmout,"أي وإذا ما مطرت عادي رجال الله يمطرونكم صيفآ شتاء ياأعداء الله وسنرى حجارة سجيل على رأس من ستنزل حديدآ ونارآ

ياكلبين"
https://twitter.com/anyuser/status/391417584962523136,aboalmout,"أنا نشرت 22 صورة على الفيس بوك في ألبوم "" الشهيد البطل العماد شرف جامع جامع "" http://t.co/QGWylQKbom"
https://twitter.com/anyuser/status/391354409093185536,aboalmout,"رحمك الله ياسيادة العماد جامع جامع
استقبلتك السماء بدموعها
وبغيبتك نزل الشتي http://t.co/MMFNppDVtS"
https://twitter.com/anyuser/status/391128430114533376,aboalmout,http://t.co/cqv8xLrgSd
https://twitter.com/anyuser/status/390696325333143552,aboalmout,"صباحكم عز وشموخ ياطيور الابابيل
يسعد صباحكم جميعآ http://t.co/Dwx76muki5"
https://twitter.com/anyuser/status/390567089083535360,aboalmout,http://t.co/0Wi6m3fPdV
https://twitter.com/anyuser/status/390565191139991552,aboalmout,عيني الله عيني http://t.co/CC8Bfnnt6w
https://twitter.com/anyuser/status/390564817817202688,aboalmout,"https://t.co/G45mKGw7N1
دعم تعليقات ولايكات يا أوادم http://t.co/Jj5isbVrhD"
https://twitter.com/anyuser/status/390310591807893504,aboalmout,حيدر - حسن علامه http://t.co/XY3CIFvvOS
https://twitter.com/anyuser/status/389974857024548864,aboalmout,وصل المعلم الدكتور بشار
https://twitter.com/anyuser/status/389937268573896704,aboalmout,"( أليس آل سعود بيهودِ؟).... بقلم مدين خضور
بالحجاز أرض اليهودِ............................سكنوها منذ عهودِ... http://t.co/hugY66v0VT"
https://twitter.com/anyuser/status/389890943111155714,aboalmout,"راااائع , فيديو كليب أغنية "" سكة حلب "" لحسام جنيد .. http://t.co/8UerUrT9uS"
https://twitter.com/anyuser/status/389866201012535296,aboalmout,"كل عام والقائد رمز عزتنا وكرامتنا الدكتور بشار الأسد بألف خير وانشالله منصورين
أضحى مبارك لكل سوري شريف http://t.co/mJ3TzscgDT"
https://twitter.com/anyuser/status/389550967567691776,aboalmout,"بوقتها هالأغنية
الله يحميكي سوريا http://t.co/PWNkqZHKHA"
https://twitter.com/anyuser/status/389149527804235777,aboalmout,قولو آمين http://t.co/zNCd9ad4MA
https://twitter.com/anyuser/status/388841866600656896,aboalmout,"عندما بحثت السقاطة عن مناخ موبوء لها لم تجد سوا بلاد العرب للأسف

لاتقولوا الله يرحمو...قولوا الله يخفف عنو... http://t.co/osbjgZp9uV"
